Start Time (ns),End Time (ns),Time Elapsed (ms),Result
4.03783E+12,4.03789E+12,52.654953,dandelion
4.03794E+12,4.03799E+12,54.210578,dandelion
4.03803E+12,4.03809E+12,57.525891,dandelion
4.03813E+12,4.0382E+12,60.865579,dandelion
4.03826E+12,4.03831E+12,53.428755,dandelion
4.03833E+12,4.03839E+12,55.246047,dandelion
4.03844E+12,4.0385E+12,64.306569,dandelion
4.03854E+12,4.03859E+12,57.113391,dandelion
4.03863E+12,4.03869E+12,53.979068,dandelion
4.03874E+12,4.03879E+12,53.330943,dandelion
4.03883E+12,4.03889E+12,59.127245,dandelion
4.03893E+12,4.03899E+12,59.982506,dandelion
4.03904E+12,4.03909E+12,54.911672,dandelion
4.03913E+12,4.0392E+12,61.520631,dandelion
4.03923E+12,4.0393E+12,61.684954,dandelion
4.03933E+12,4.03939E+12,54.560318,dandelion
4.03943E+12,4.03949E+12,53.703756,dandelion
4.03954E+12,4.03959E+12,55.735214,dandelion
4.03964E+12,4.03969E+12,54.44162,dandelion
4.03973E+12,4.03979E+12,59.517298,dandelion
4.03983E+12,4.03989E+12,53.028443,dandelion
4.03994E+12,4.03999E+12,55.831412,dandelion
4.04004E+12,4.0401E+12,59.612923,dandelion
4.04013E+12,4.04019E+12,59.647141,dandelion
4.04023E+12,4.04029E+12,54.414432,dandelion
4.04034E+12,4.0404E+12,55.189953,dandelion
4.04043E+12,4.04048E+12,52.748235,dandelion
4.04055E+12,4.0406E+12,58.696048,dandelion
4.04065E+12,4.04072E+12,63.704329,dandelion
4.04077E+12,4.04084E+12,63.159121,dandelion
