Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,20.091356,37.29667
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.905106,36.11042
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.748908,35.954222
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.998544,36.203858
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.198283,36.403597
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.930835,36.136149
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.745991,35.951305
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.649324,35.854638
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.936252,37.141566
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.157918,36.363232
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.842763,36.048077
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.344221,36.549535
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.093439,36.298753
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.963127,36.168441
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.808803,36.014117
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.933075,36.138389
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.804325,36.009639
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.007658,36.212972
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.981824,36.187138
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.024169,36.229483
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.685522,36.890836
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.127762,36.333076
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.322034,36.527348
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.257918,36.463232
11,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.615054,35.820368
12,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,20.102346,37.30766
12,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.118596,36.32391
12,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.642033,36.847347
12,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.412293,36.617607
12,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.080887,36.286201
12,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.208075,36.413389
12,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.545262,36.750576
12,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.377294,36.582608
12,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.780731,35.986045
12,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,18.50219,35.707504
12,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.126043,36.331357
12,6.43E+14,6.43E+14,17.205314,6.43E+14,6.43E+14,19.078856,36.28417
