Time (sec),Preproc Start Time (ns),Preproc End Time (ns),Preproc Time Elapsed (ms),Class Start Time (ns),Class End Time (ns),Class Time Elapsed (ms),Total Time Elapsed (ms)
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.456513,22.229169
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.698075,21.470731
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.803648,21.576304
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.311304,22.08396
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.357606,22.130262
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.652814,22.42547
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.683439,22.456095
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.022554,21.79521
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.525054,22.29771
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.388336,22.160992
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.076408,22.849064
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.137762,21.910418
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.270992,22.043648
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.126252,22.898908
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,21.856356,23.629012
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,19.797763,21.570419
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.039533,21.812189
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.565314,22.33797
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.31495,22.087606
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.167086,21.939742
12,4.48E+14,4.48E+14,1.772656,4.48E+14,4.48E+14,20.194534,21.96719
