Time (sec),Previous Frame (ns),Current Frame (ns),Time Elapsed (ms),Dropped Frame Count,,,Num,FPS,,Min FPS,Max FPS,Avg FPS
4,2.50E+14,2.50E+14,16.771804,0,,,270,59,,,,
4,2.50E+14,2.50E+14,16.776312,0,,,271,60,,,,
4,2.50E+14,2.50E+14,16.778773,0,,,272,59,,,,
4,2.50E+14,2.50E+14,16.773568,0,,,273,60,,,,
4,2.50E+14,2.50E+14,16.771836,0,,,274,60,,,,
4,2.50E+14,2.50E+14,16.778307,0,,,275,59,,,,
4,2.50E+14,2.50E+14,16.774763,0,,,276,60,,,,
4,2.50E+14,2.50E+14,16.777319,0,,,277,59,,,,
4,2.50E+14,2.50E+14,16.772429,0,,,278,60,,,,
4,2.50E+14,2.50E+14,16.777343,0,,,279,60,,,,
4,2.50E+14,2.50E+14,16.774662,0,,,280,59,,,,
4,2.50E+14,2.50E+14,16.779318,0,,,281,60,,,,
4,2.50E+14,2.50E+14,16.776031,0,,,282,60,,,,
4,2.50E+14,2.50E+14,16.776675,0,,,283,59,,,,
4,2.50E+14,2.50E+14,16.771731,0,,,284,60,,,,
4,2.50E+14,2.50E+14,16.774383,0,,,285,59,,,,
4,2.50E+14,2.50E+14,16.7728,0,,,286,60,,,,
4,2.50E+14,2.50E+14,16.776479,0,,,287,60,,,,
4,2.50E+14,2.50E+14,16.77378,0,,,288,59,,,,
4,2.50E+14,2.50E+14,16.778742,0,,,289,60,,,,
4,2.50E+14,2.50E+14,16.779123,0,,,290,59,,,,
4,2.50E+14,2.50E+14,16.773402,0,,,291,60,,,,
4,2.50E+14,2.50E+14,16.779604,0,,,292,60,,,,
4,2.50E+14,2.50E+14,16.773401,0,,,293,59,,,,
4,2.50E+14,2.50E+14,16.778119,0,,,294,60,,,,
4,2.50E+14,2.50E+14,16.778206,0,,,295,60,,,,
4,2.50E+14,2.50E+14,16.776545,0,,,296,59,,,,
4,2.50E+14,2.50E+14,16.776244,0,,,297,60,,,,
5,2.50E+14,2.50E+14,16.778875,0,,,298,59,,,,
5,2.50E+14,2.50E+14,16.779262,0,,,299,48,,,,
5,2.50E+14,2.50E+14,16.777433,0,,,300,4,,,,
5,2.50E+14,2.50E+14,16.777498,0,,,,,,,,
5,2.50E+14,2.50E+14,16.779099,0,,,,,,,,
5,2.50E+14,2.50E+14,16.77935,0,,,,,,,,
5,2.50E+14,2.50E+14,16.779301,0,,,,,,,,
5,2.50E+14,2.50E+14,16.774261,0,,,,,,,,
5,2.50E+14,2.50E+14,16.774099,0,,,,,,,,
5,2.50E+14,2.50E+14,16.778883,0,,,,,,,,
5,2.50E+14,2.50E+14,16.778903,0,,,,,,,,
5,2.50E+14,2.50E+14,16.777231,0,,,,,,,,
5,2.50E+14,2.50E+14,16.77751,0,,,,,,,,
5,2.50E+14,2.50E+14,16.775432,0,,,,,,,,
5,2.50E+14,2.50E+14,16.776208,0,,,,,,,,
5,2.50E+14,2.50E+14,16.775439,0,,,,,,,,
5,2.50E+14,2.50E+14,16.777832,0,,,,,,,,
5,2.50E+14,2.50E+14,16.774114,0,,,,,,,,
5,2.50E+14,2.50E+14,16.776539,0,,,,,,,,
5,2.50E+14,2.50E+14,16.775662,0,,,,,,,,
5,2.50E+14,2.50E+14,16.777276,0,,,,,,,,
5,2.50E+14,2.50E+14,16.77506,0,,,,,,,,
5,2.50E+14,2.50E+14,16.776933,0,,,,,,,,
5,2.50E+14,2.50E+14,16.773938,0,,,,,,,,
5,2.50E+14,2.50E+14,16.771967,0,,,,,,,,
5,2.50E+14,2.50E+14,16.772429,0,,,,,,,,
5,2.50E+14,2.50E+14,16.775794,0,,,,,,,,
5,2.50E+14,2.50E+14,16.778602,0,,,,,,,,
5,2.50E+14,2.50E+14,16.778673,0,,,,,,,,
5,2.50E+14,2.50E+14,16.776439,0,,,,,,,,
5,2.50E+14,2.50E+14,16.777084,0,,,,,,,,
5,2.50E+14,2.50E+14,16.777499,0,,,,,,,,
5,2.50E+14,2.50E+14,16.774644,0,,,,,,,,
5,2.50E+14,2.50E+14,16.776369,0,,,,,,,,
5,2.50E+14,2.50E+14,16.778312,0,,,,,,,,
5,2.50E+14,2.50E+14,16.777158,0,,,,,,,,
5,2.50E+14,2.50E+14,16.779099,0,,,,,,,,
5,2.50E+14,2.50E+14,16.777456,0,,,,,,,,
5,2.50E+14,2.50E+14,16.774721,0,,,,,,,,
5,2.50E+14,2.50E+14,16.777209,0,,,,,,,,
5,2.50E+14,2.50E+14,16.777846,0,,,,,,,,
5,2.50E+14,2.50E+14,16.776857,0,,,,,,,,
5,2.50E+14,2.50E+14,16.774445,0,,,,,,,,
5,2.50E+14,2.50E+14,16.776356,0,,,,,,,,
5,2.50E+14,2.50E+14,16.771549,0,,,,,,,,
5,2.50E+14,2.50E+14,16.776017,0,,,,,,,,
5,2.50E+14,2.50E+14,16.77854,0,,,,,,,,
5,2.50E+14,2.50E+14,16.777008,0,,,,,,,,
5,2.50E+14,2.50E+14,16.777739,0,,,,,,,,
5,2.50E+14,2.50E+14,16.776521,0,,,,,,,,
5,2.50E+14,2.50E+14,16.777833,0,,,,,,,,
5,2.50E+14,2.50E+14,16.777879,0,,,,,,,,
5,2.50E+14,2.50E+14,16.778393,0,,,,,,,,
5,2.50E+14,2.50E+14,16.775733,0,,,,,,,,
5,2.50E+14,2.50E+14,16.776013,0,,,,,,,,
5,2.50E+14,2.50E+14,16.778588,0,,,,,,,,
5,2.50E+14,2.50E+14,16.772047,0,,,,,,,,
5,2.50E+14,2.50E+14,16.778152,0,,,,,,,,
5,2.50E+14,2.50E+14,16.777159,0,,,,,,,,
6,2.50E+14,2.50E+14,16.776586,0,,,,,,,,
6,2.50E+14,2.50E+14,16.764528,0,,,,,,,,
6,2.50E+14,2.50E+14,16.777993,0,,,,,,,,
6,2.50E+14,2.50E+14,16.776362,0,,,,,,,,
6,2.50E+14,2.50E+14,16.778483,0,,,,,,,,
6,2.50E+14,2.50E+14,16.776387,0,,,,,,,,
6,2.50E+14,2.50E+14,16.77664,0,,,,,,,,
6,2.50E+14,2.50E+14,16.77348,0,,,,,,,,
6,2.50E+14,2.50E+14,16.777134,0,,,,,,,,
6,2.50E+14,2.50E+14,16.773232,0,,,,,,,,
6,2.50E+14,2.50E+14,16.774436,0,,,,,,,,
6,2.50E+14,2.50E+14,16.777671,0,,,,,,,,
6,2.50E+14,2.50E+14,16.776717,0,,,,,,,,
6,2.50E+14,2.50E+14,16.777636,0,,,,,,,,
6,2.50E+14,2.50E+14,16.777333,0,,,,,,,,
6,2.50E+14,2.50E+14,16.77579,0,,,,,,,,
6,2.50E+14,2.50E+14,16.779352,0,,,,,,,,
6,2.50E+14,2.50E+14,16.776563,0,,,,,,,,
6,2.50E+14,2.50E+14,16.777527,0,,,,,,,,
6,2.50E+14,2.50E+14,16.777899,0,,,,,,,,
6,2.50E+14,2.50E+14,16.77743,0,,,,,,,,
6,2.50E+14,2.50E+14,16.777271,0,,,,,,,,
6,2.50E+14,2.50E+14,16.775697,0,,,,,,,,
6,2.50E+14,2.50E+14,16.767956,0,,,,,,,,
6,2.50E+14,2.50E+14,16.776221,0,,,,,,,,
6,2.50E+14,2.50E+14,16.777282,0,,,,,,,,
6,2.50E+14,2.50E+14,16.77773,0,,,,,,,,
6,2.50E+14,2.50E+14,16.77746,0,,,,,,,,
6,2.50E+14,2.50E+14,16.776584,0,,,,,,,,
6,2.50E+14,2.50E+14,16.777583,0,,,,,,,,
6,2.50E+14,2.50E+14,16.772064,0,,,,,,,,
6,2.50E+14,2.50E+14,16.778979,0,,,,,,,,
6,2.50E+14,2.50E+14,16.779157,0,,,,,,,,
6,2.50E+14,2.50E+14,16.778801,0,,,,,,,,
6,2.50E+14,2.50E+14,16.779241,0,,,,,,,,
6,2.50E+14,2.50E+14,16.776619,0,,,,,,,,
6,2.50E+14,2.50E+14,16.767739,0,,,,,,,,
6,2.50E+14,2.50E+14,16.777902,0,,,,,,,,
6,2.50E+14,2.50E+14,16.776387,0,,,,,,,,
6,2.50E+14,2.50E+14,16.776986,0,,,,,,,,
6,2.50E+14,2.50E+14,16.775212,0,,,,,,,,
6,2.50E+14,2.50E+14,16.777792,0,,,,,,,,
6,2.50E+14,2.50E+14,16.772836,0,,,,,,,,
6,2.50E+14,2.50E+14,16.778938,0,,,,,,,,
6,2.50E+14,2.50E+14,16.777539,0,,,,,,,,
6,2.50E+14,2.50E+14,16.777981,0,,,,,,,,
6,2.50E+14,2.50E+14,16.776194,0,,,,,,,,
6,2.50E+14,2.50E+14,16.772156,0,,,,,,,,
6,2.50E+14,2.50E+14,16.771499,0,,,,,,,,
6,2.50E+14,2.50E+14,16.773202,0,,,,,,,,
6,2.50E+14,2.50E+14,16.773543,0,,,,,,,,
6,2.50E+14,2.50E+14,16.776871,0,,,,,,,,
6,2.50E+14,2.50E+14,16.779061,0,,,,,,,,
6,2.50E+14,2.50E+14,16.778227,0,,,,,,,,
6,2.50E+14,2.50E+14,16.778724,0,,,,,,,,
6,2.50E+14,2.50E+14,16.779068,0,,,,,,,,
6,2.50E+14,2.50E+14,16.777762,0,,,,,,,,
